SSID, BSS, RSSI, canal, hora
"IZZI-5852", "5C:A4:F4:F4:58:52", "-57", "8", "10:14:14"
"IZZI-5852", "5C:A4:F4:F4:58:52", "-71", "8", "10:14:16"
"IZZI-5852", "5C:A4:F4:F4:58:52", "-60", "8", "10:14:19"
"IZZI-5852", "5C:A4:F4:F4:58:52", "-57", "8", "10:14:21"
"IZZI-5852", "5C:A4:F4:F4:58:52", "-64", "8", "10:14:23"
"IZZI-5852", "5C:A4:F4:F4:58:52", "-64", "8", "10:14:26"
"IZZI-5852", "5C:A4:F4:F4:58:52", "-60", "8", "10:14:28"
"IZZI-5852", "5C:A4:F4:F4:58:52", "-64", "8", "10:14:31"
"IZZI-5852", "5C:A4:F4:F4:58:52", "-65", "8", "10:14:33"
"IZZI-5852", "5C:A4:F4:F4:58:52", "-62", "8", "10:14:35"
"IZZI-5852", "5C:A4:F4:F4:58:52", "-67", "8", "10:14:38"
"IZZI-5852", "5C:A4:F4:F4:58:52", "-62", "8", "10:14:40"
"IZZI-5852", "5C:A4:F4:F4:58:52", "-60", "8", "10:14:43"
"IZZI-5852", "5C:A4:F4:F4:58:52", "-58", "8", "10:14:45"
"IZZI-5852", "5C:A4:F4:F4:58:52", "-62", "8", "10:14:48"
"IZZI-5852", "5C:A4:F4:F4:58:52", "-58", "8", "10:14:50"
"IZZI-5852", "5C:A4:F4:F4:58:52", "-58", "8", "10:14:53"
"IZZI-5852", "5C:A4:F4:F4:58:52", "-53", "8", "10:14:55"
"IZZI-5852", "5C:A4:F4:F4:58:52", "-53", "8", "10:14:57"
"IZZI-5852", "5C:A4:F4:F4:58:52", "-55", "8", "10:15:00"
"", "5E:A4:F4:32:F0:7E", "-91", "52", "10:14:09"
"", "5E:A4:F4:32:F0:7E", "-89", "52", "10:14:11"
"", "5E:A4:F4:32:F0:7E", "-91", "52", "10:14:14"
"", "5E:A4:F4:32:F0:7E", "-87", "52", "10:14:16"
"", "5E:A4:F4:32:F0:7E", "-86", "52", "10:14:19"
"", "5E:A4:F4:32:F0:7E", "-88", "52", "10:14:21"
"", "5E:A4:F4:32:F0:7E", "-90", "52", "10:14:23"
"", "5E:A4:F4:32:F0:7E", "-85", "52", "10:14:26"
"", "5E:A4:F4:32:F0:7E", "-89", "52", "10:14:28"
"", "5E:A4:F4:32:F0:7E", "-85", "52", "10:14:31"
"", "5E:A4:F4:32:F0:7E", "-85", "52", "10:14:33"
"", "5E:A4:F4:32:F0:7E", "-87", "52", "10:14:35"
"", "5E:A4:F4:32:F0:7E", "-87", "52", "10:14:38"
"", "5E:A4:F4:32:F0:7E", "-84", "52", "10:14:40"
"", "5E:A4:F4:32:F0:7E", "-84", "52", "10:14:43"
"", "5E:A4:F4:32:F0:7E", "-83", "52", "10:14:45"
"", "5E:A4:F4:32:F0:7E", "-85", "52", "10:14:48"
"", "5E:A4:F4:32:F0:7E", "-85", "52", "10:14:50"
"", "5E:A4:F4:32:F0:7E", "-85", "52", "10:14:53"
"", "5E:A4:F4:32:F0:7E", "-86", "52", "10:14:55"
"", "5E:A4:F4:32:F0:7E", "-89", "52", "10:14:57"
"", "5E:A4:F4:32:F0:7E", "-85", "52", "10:15:00"
"", "32:CC:21:FF:B5:A2", "-93", "64", "10:14:19"
"", "32:CC:21:FF:B5:A2", "-93", "64", "10:14:21"
"", "32:CC:21:FF:B5:A2", "-95", "64", "10:14:23"
"", "32:CC:21:FF:B5:A2", "-95", "64", "10:14:26"
"", "32:CC:21:FF:B5:A2", "-95", "64", "10:14:28"
"", "32:CC:21:FF:B5:A2", "-95", "64", "10:14:31"
"", "32:CC:21:FF:B5:A2", "-95", "64", "10:14:33"
"", "32:CC:21:FF:B5:A2", "-95", "64", "10:14:35"
"", "32:CC:21:FF:B5:A2", "-95", "64", "10:14:38"
"", "32:CC:21:FF:B5:A2", "-95", "64", "10:14:40"
"", "32:CC:21:FF:B5:A2", "-95", "64", "10:14:43"
"", "32:CC:21:FF:B5:A2", "-95", "64", "10:14:45"
"", "32:CC:21:FF:B5:A2", "-95", "64", "10:14:48"
"", "32:CC:21:FF:B5:A2", "-95", "64", "10:14:50"
"", "32:CC:21:FF:B5:A2", "-95", "64", "10:14:53"
"", "32:CC:21:FF:B5:A2", "-94", "64", "10:14:57"
"", "32:CC:21:FF:B5:A2", "-94", "64", "10:15:00"
"IZZI-C54A", "A8:97:CD:56:8F:47", "-91", "6", "10:14:09"
"IZZI-C54A", "A8:97:CD:56:8F:47", "-91", "6", "10:14:11"
"IZZI-C54A", "A8:97:CD:56:8F:47", "-91", "6", "10:14:14"
"IZZI-C54A", "A8:97:CD:56:8F:47", "-91", "6", "10:14:16"
"IZZI-C54A", "A8:97:CD:56:8F:47", "-91", "6", "10:14:19"
"IZZI-C54A", "A8:97:CD:56:8F:47", "-91", "6", "10:14:21"
"IZZI-C54A", "A8:97:CD:56:8F:47", "-91", "6", "10:14:23"
"IZZI-C54A", "A8:97:CD:56:8F:47", "-91", "6", "10:14:26"
"IZZI-C54A", "A8:97:CD:56:8F:47", "-91", "6", "10:14:28"
"IZZI-C54A", "A8:97:CD:56:8F:47", "-91", "6", "10:14:31"
"IZZI-C54A", "A8:97:CD:56:8F:47", "-91", "6", "10:14:33"
"IZZI-C54A", "A8:97:CD:56:8F:47", "-91", "6", "10:14:35"
"IZZI-C54A", "A8:97:CD:56:8F:47", "-91", "6", "10:14:38"
"", "5E:A4:F4:FE:41:94", "-79", "52", "10:14:09"
"", "5E:A4:F4:FE:41:94", "-83", "52", "10:14:11"
"", "5E:A4:F4:FE:41:94", "-87", "52", "10:14:14"
"", "5E:A4:F4:FE:41:94", "-76", "52", "10:14:16"
"", "5E:A4:F4:FE:41:94", "-76", "52", "10:14:19"
"", "5E:A4:F4:FE:41:94", "-82", "52", "10:14:21"
"", "5E:A4:F4:FE:41:94", "-87", "52", "10:14:23"
"", "5E:A4:F4:FE:41:94", "-78", "52", "10:14:26"
"", "5E:A4:F4:FE:41:94", "-79", "52", "10:14:28"
"", "5E:A4:F4:FE:41:94", "-84", "52", "10:14:31"
"", "5E:A4:F4:FE:41:94", "-84", "52", "10:14:33"
"", "5E:A4:F4:FE:41:94", "-83", "52", "10:14:35"
"", "5E:A4:F4:FE:41:94", "-79", "52", "10:14:38"
"", "5E:A4:F4:FE:41:94", "-81", "52", "10:14:40"
"", "5E:A4:F4:FE:41:94", "-80", "52", "10:14:43"
"", "5E:A4:F4:FE:41:94", "-80", "52", "10:14:45"
"", "5E:A4:F4:FE:41:94", "-80", "52", "10:14:48"
"", "5E:A4:F4:FE:41:94", "-82", "52", "10:14:50"
"", "5E:A4:F4:FE:41:94", "-82", "52", "10:14:53"
"", "5E:A4:F4:FE:41:94", "-88", "52", "10:14:55"
"", "5E:A4:F4:FE:41:94", "-82", "52", "10:14:57"
"", "5E:A4:F4:FE:41:94", "-81", "52", "10:15:00"
"INFINITUM06AE", "30:37:B3:52:3F:64", "-60", "1", "10:14:09"
"INFINITUM06AE", "30:37:B3:52:3F:64", "-59", "1", "10:14:11"
"INFINITUM06AE", "30:37:B3:52:3F:64", "-62", "1", "10:14:14"
"INFINITUM06AE", "30:37:B3:52:3F:64", "-72", "1", "10:14:16"
"INFINITUM06AE", "30:37:B3:52:3F:64", "-68", "1", "10:14:19"
"INFINITUM06AE", "30:37:B3:52:3F:64", "-59", "1", "10:14:21"
"INFINITUM06AE", "30:37:B3:52:3F:64", "-63", "1", "10:14:23"
"INFINITUM06AE", "30:37:B3:52:3F:64", "-62", "1", "10:14:26"
"INFINITUM06AE", "30:37:B3:52:3F:64", "-63", "1", "10:14:28"
"INFINITUM06AE", "30:37:B3:52:3F:64", "-57", "1", "10:14:31"
"INFINITUM06AE", "30:37:B3:52:3F:64", "-59", "1", "10:14:33"
"INFINITUM06AE", "30:37:B3:52:3F:64", "-57", "1", "10:14:35"
"INFINITUM06AE", "30:37:B3:52:3F:64", "-65", "1", "10:14:38"
"INFINITUM06AE", "30:37:B3:52:3F:64", "-59", "1", "10:14:40"
"INFINITUM06AE", "30:37:B3:52:3F:64", "-71", "1", "10:14:43"
"INFINITUM06AE", "30:37:B3:52:3F:64", "-57", "1", "10:14:45"
"INFINITUM06AE", "30:37:B3:52:3F:64", "-55", "1", "10:14:48"
"INFINITUM06AE", "30:37:B3:52:3F:64", "-55", "1", "10:14:50"
"INFINITUM06AE", "30:37:B3:52:3F:64", "-74", "1", "10:14:53"
"INFINITUM06AE", "30:37:B3:52:3F:64", "-58", "1", "10:14:55"
"INFINITUM06AE", "30:37:B3:52:3F:64", "-57", "1", "10:14:57"
"INFINITUM06AE", "30:37:B3:52:3F:64", "-68", "1", "10:15:00"
"IZZI-5852-5G", "5C:A4:F4:F4:58:54", "-68", "48", "10:14:09"
"IZZI-5852-5G", "5C:A4:F4:F4:58:54", "-68", "48", "10:14:11"
"IZZI-5852-5G", "5C:A4:F4:F4:58:54", "-67", "48", "10:14:14"
"IZZI-5852-5G", "5C:A4:F4:F4:58:54", "-69", "48", "10:14:16"
"IZZI-5852-5G", "5C:A4:F4:F4:58:54", "-72", "48", "10:14:19"
"IZZI-5852-5G", "5C:A4:F4:F4:58:54", "-68", "48", "10:14:21"
"IZZI-5852-5G", "5C:A4:F4:F4:58:54", "-67", "48", "10:14:23"
"IZZI-5852-5G", "5C:A4:F4:F4:58:54", "-70", "48", "10:14:26"
"IZZI-5852-5G", "5C:A4:F4:F4:58:54", "-72", "48", "10:14:28"
"IZZI-5852-5G", "5C:A4:F4:F4:58:54", "-70", "48", "10:14:31"
"IZZI-5852-5G", "5C:A4:F4:F4:58:54", "-73", "48", "10:14:33"
"IZZI-5852-5G", "5C:A4:F4:F4:58:54", "-71", "48", "10:14:35"
"IZZI-5852-5G", "5C:A4:F4:F4:58:54", "-70", "48", "10:14:38"
"IZZI-5852-5G", "5C:A4:F4:F4:58:54", "-68", "48", "10:14:40"
"IZZI-5852-5G", "5C:A4:F4:F4:58:54", "-67", "48", "10:14:43"
"IZZI-5852-5G", "5C:A4:F4:F4:58:54", "-67", "48", "10:14:45"
"IZZI-5852-5G", "5C:A4:F4:F4:58:54", "-71", "48", "10:14:48"
"IZZI-5852-5G", "5C:A4:F4:F4:58:54", "-69", "48", "10:14:50"
"IZZI-5852-5G", "5C:A4:F4:F4:58:54", "-65", "48", "10:14:53"
"IZZI-5852-5G", "5C:A4:F4:F4:58:54", "-69", "48", "10:14:55"
"IZZI-5852-5G", "5C:A4:F4:F4:58:54", "-64", "48", "10:14:57"
"IZZI-5852-5G", "5C:A4:F4:F4:58:54", "-66", "48", "10:15:00"
"IZZI-F7C2", "C0:B1:01:DF:F7:C2", "-78", "7", "10:14:11"
